movieId,tmdbId,movielens_title,source_title,source_release_date,overview,overview_language,directors,cast,source_url,source_dataset,retrieved_on
1,862,Toy Story (1995),Toy Story,1995-10-30,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",en,"[{""id"": 7879, ""name"": ""John Lasseter""}]","[{""id"": 31, ""name"": ""Tom Hanks""}, {""id"": 12898, ""name"": ""Tim Allen""}, {""id"": 7167, ""name"": ""Don Rickles""}, {""id"": 12899, ""name"": ""Jim Varney""}, {""id"": 12900, ""name"": ""Wallace Shawn""}]",https://www.themoviedb.org/movie/862,TMDB 5000 Movie Dataset,2026-09-12
10,710,GoldenEye (1995),GoldenEye,1995-11-16,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,en,"[{""id"": 10702, ""name"": ""Martin Campbell""}]","[{""id"": 517, ""name"": ""Pierce Brosnan""}, {""id"": 48, ""name"": ""Sean Bean""}, {""id"": 10695, ""name"": ""Izabella Scorupco""}, {""id"": 10696, ""name"": ""Famke Janssen""}, {""id"": 10671, ""name"": ""Joe Don Baker""}]",https://www.themoviedb.org/movie/710,TMDB 5000 Movie Dataset,2026-09-12
11,9087,"American President, The (1995)",The American President,1995-11-17,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",en,"[{""id"": 3026, ""name"": ""Rob Reiner""}]","[{""id"": 3392, ""name"": ""Michael Douglas""}, {""id"": 516, ""name"": ""Annette Bening""}, {""id"": 521, ""name"": ""Michael J. Fox""}, {""id"": 8349, ""name"": ""Martin Sheen""}, {""id"": 63279, ""name"": ""Anna Deavere Smith""}]",https://www.themoviedb.org/movie/9087,TMDB 5000 Movie Dataset,2026-09-12
14,10858,Nixon (1995),Nixon,1995-12-22,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",en,"[{""id"": 1152, ""name"": ""Oliver Stone""}]","[{""id"": 4173, ""name"": ""Anthony Hopkins""}, {""id"": 11148, ""name"": ""Joan Allen""}, {""id"": 6280, ""name"": ""Powers Boothe""}, {""id"": 228, ""name"": ""Ed Harris""}, {""id"": 382, ""name"": ""Bob Hoskins""}]",https://www.themoviedb.org/movie/10858,TMDB 5000 Movie Dataset,2026-09-12
15,1408,Cutthroat Island (1995),Cutthroat Island,1995-12-22,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",en,"[{""id"": 16938, ""name"": ""Renny Harlin""}]","[{""id"": 16935, ""name"": ""Geena Davis""}, {""id"": 8654, ""name"": ""Matthew Modine""}, {""id"": 8924, ""name"": ""Frank Langella""}, {""id"": 7868, ""name"": ""Maury Chaykin""}, {""id"": 8979, ""name"": ""Patrick Malahide""}]",https://www.themoviedb.org/movie/1408,TMDB 5000 Movie Dataset,2026-09-12
16,524,Casino (1995),Casino,1995-11-22,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,en,"[{""id"": 1032, ""name"": ""Martin Scorsese""}]","[{""id"": 380, ""name"": ""Robert De Niro""}, {""id"": 4430, ""name"": ""Sharon Stone""}, {""id"": 4517, ""name"": ""Joe Pesci""}, {""id"": 4512, ""name"": ""James Woods""}, {""id"": 7167, ""name"": ""Don Rickles""}]",https://www.themoviedb.org/movie/524,TMDB 5000 Movie Dataset,2026-09-12
17,4584,Sense and Sensibility (1995),Sense and Sensibility,1995-12-13,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",en,"[{""id"": 1614, ""name"": ""Ang Lee""}]","[{""id"": 204, ""name"": ""Kate Winslet""}, {""id"": 7056, ""name"": ""Emma Thompson""}, {""id"": 3291, ""name"": ""Hugh Grant""}, {""id"": 207, ""name"": ""Tom Wilkinson""}, {""id"": 4566, ""name"": ""Alan Rickman""}]",https://www.themoviedb.org/movie/4584,TMDB 5000 Movie Dataset,2026-09-12
18,5,Four Rooms (1995),Four Rooms,1995-12-09,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,en,"[{""id"": 3110, ""name"": ""Allison Anders""}, {""id"": 3111, ""name"": ""Alexandre Rockwell""}, {""id"": 2294, ""name"": ""Robert Rodriguez""}, {""id"": 138, ""name"": ""Quentin Tarantino""}]","[{""id"": 3129, ""name"": ""Tim Roth""}, {""id"": 3131, ""name"": ""Antonio Banderas""}, {""id"": 3130, ""name"": ""Jennifer Beals""}, {""id"": 3125, ""name"": ""Madonna""}, {""id"": 3141, ""name"": ""Marisa Tomei""}]",https://www.themoviedb.org/movie/5,TMDB 5000 Movie Dataset,2026-09-12
19,9273,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995-11-10,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",en,"[{""id"": 4489, ""name"": ""Steve Oedekerk""}]","[{""id"": 206, ""name"": ""Jim Carrey""}, {""id"": 3547, ""name"": ""Ian McNeice""}, {""id"": 4001, ""name"": ""Simon Callow""}, {""id"": 57096, ""name"": ""Maynard Eziashi""}, {""id"": 4029, ""name"": ""Bob Gunton""}]",https://www.themoviedb.org/movie/9273,TMDB 5000 Movie Dataset,2026-09-12
20,11517,Money Train (1995),Money Train,1995-11-21,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",en,"[{""id"": 52629, ""name"": ""Joseph Ruben""}]","[{""id"": 10814, ""name"": ""Wesley Snipes""}, {""id"": 57755, ""name"": ""Woody Harrelson""}, {""id"": 16866, ""name"": ""Jennifer Lopez""}, {""id"": 9287, ""name"": ""Robert Blake""}, {""id"": 2955, ""name"": ""Chris Cooper""}]",https://www.themoviedb.org/movie/11517,TMDB 5000 Movie Dataset,2026-09-12
