genre,n_movies,total_ratings,mean_of_mean,mean_bayesian,mean_std
Drama,4364,41948,3.422,3.506,0.794
Comedy,3766,39075,3.181,3.415,0.892
Action,1832,30644,3.092,3.399,0.883
Thriller,1890,26456,3.158,3.428,0.829
Adventure,1267,24173,3.213,3.427,0.872
Romance,1595,18144,3.364,3.464,0.851
Sci-Fi,982,17245,3.106,3.402,0.883
Crime,1201,16689,3.304,3.481,0.793
Fantasy,782,11845,3.221,3.427,0.879
Children,665,9209,3.109,3.389,0.904
Mystery,578,7680,3.341,3.487,0.82
Horror,978,7294,2.919,3.373,0.892
Animation,612,6990,3.496,3.507,0.859
War,382,4860,3.568,3.546,0.788
IMAX,158,4145,3.312,3.456,0.897
Musical,338,4144,3.288,3.478,0.851
Western,167,1930,3.383,3.503,0.801
Documentary,444,1225,3.772,3.552,0.637
Film-Noir,85,870,3.67,3.61,0.742
