movieId,predicted_rating,n_neighbor_votes,title,genres,release_year,mean_rating,rating_count,bayesian_rating
1227,5.0,2.0,Once Upon a Time in America,Crime|Drama,1984,4.0625,16,3.8468
515,5.0,1.0,"Remains of the Day, The",Drama|Romance,1993,3.6042,24,3.574
905,5.0,1.0,It Happened One Night,Comedy|Romance,1934,4.3214,14,3.9798
906,5.0,1.0,Gaslight,Drama|Thriller,1944,4.1429,7,3.7656
1177,5.0,1.0,Enchanted April,Drama|Romance,1992,4.0,6,3.6885
1251,5.0,1.0,8 1/2 (8½),Drama|Fantasy,1963,4.0714,14,3.834
1279,5.0,1.0,Night on Earth,Comedy|Drama,1991,4.125,8,3.7786
1295,5.0,1.0,"Unbearable Lightness of Being, The",Drama,1988,3.2273,11,3.3579
2843,5.0,1.0,"Black Cat, White Cat (Crna macka, beli macor)",Comedy|Romance,1998,3.9444,9,3.7114
3549,5.0,1.0,Guys and Dolls,Comedy|Musical|Romance,1955,3.9375,8,3.6953
3677,5.0,1.0,Baraka,Documentary,1992,4.125,4,3.6797
3814,5.0,1.0,Love and Death,Comedy,1975,4.2222,9,3.8429
3925,5.0,1.0,Stranger Than Paradise,Comedy|Drama,1984,3.9167,6,3.6572
4495,5.0,1.0,Crossing Delancey,Comedy|Romance,1988,5.0,1,3.6378
5034,5.0,1.0,"Truly, Madly, Deeply",Drama|Romance,1991,3.6667,3,3.5397
5490,5.0,1.0,The Big Bus,Action|Comedy,1976,5.0,1,3.6378
5915,5.0,1.0,Victory (a.k.a. Escape to Victory),Action|Drama|War,1981,4.75,2,3.7096
6192,5.0,1.0,Open Hearts (Elsker dig for evigt),Romance,2002,5.0,1,3.6378
6201,5.0,1.0,Lady Jane,Drama|Romance,1986,5.0,1,3.6378
6375,5.0,1.0,Gigantic (A Tale of Two Johns),Documentary,2002,4.0,4,3.644
7121,5.0,1.0,Adam's Rib,Comedy|Romance,1949,4.75,4,3.8583
8235,5.0,1.0,Safety Last!,Action|Comedy|Romance,1923,4.0,2,3.5846
8968,5.0,1.0,After the Sunset,Action|Adventure|Comedy|Crime|Thriller,2004,3.5833,6,3.5322
43376,5.0,1.0,Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage),Drama|War,2005,4.625,4,3.8225
67618,5.0,1.0,Strictly Sexual,Comedy|Drama|Romance,2008,5.0,1,3.6378
70183,5.0,1.0,"Ugly Truth, The",Comedy|Drama|Romance,2009,3.6667,12,3.5916
74946,5.0,1.0,She's Out of My League,Comedy,2010,3.2222,9,3.3692
132333,5.0,1.0,Seve,Documentary|Drama,2014,5.0,1,3.6378
3030,4.678,3.0,Yojimbo,Action|Adventure,1961,4.2308,13,3.9137
954,4.656,3.0,Mr. Smith Goes to Washington,Drama,1939,4.0833,18,3.8756
2565,4.521,2.0,"King and I, The",Drama|Musical|Romance,1956,4.1667,12,3.8643
2295,4.513,2.0,"Impostors, The",Comedy,1998,4.5,2,3.668
534,4.505,2.0,Shadowlands,Drama|Romance,1993,3.6071,14,3.5632
307,4.5,2.0,Three Colors: Blue (Trois couleurs: Bleu),Drama,1993,3.8958,24,3.7799
3451,4.5,2.0,Guess Who's Coming to Dinner,Drama,1967,4.5455,11,4.0484
3462,4.5,2.0,Modern Times,Comedy|Drama|Romance,1936,3.72,25,3.6576
7387,4.5,2.0,Dawn of the Dead,Action|Drama|Horror,1978,3.975,20,3.8172
8132,4.5,2.0,Gladiator,Action|Drama,1992,4.3333,9,3.8956
28,4.5,1.0,Persuasion,Drama|Romance,1995,4.2273,11,3.8817
194,4.5,1.0,Smoke,Comedy|Drama,1995,3.6667,18,3.6077
199,4.5,1.0,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical|Romance,1964,4.125,4,3.6797
670,4.5,1.0,"World of Apu, The (Apur Sansar)",Drama,1959,4.75,2,3.7096
714,4.5,1.0,Dead Man,Drama|Mystery|Western,1995,3.9667,15,3.7806
945,4.5,1.0,Top Hat,Comedy|Musical|Romance,1935,4.0714,7,3.7362
1041,4.5,1.0,Secrets & Lies,Drama,1996,4.5909,11,4.0722
1353,4.5,1.0,"Mirror Has Two Faces, The",Comedy|Drama|Romance,1996,3.375,4,3.4654
1354,4.5,1.0,Breaking the Waves,Drama|Mystery,1996,4.0714,7,3.7362
1413,4.5,1.0,"Whole Wide World, The",Drama,1996,4.25,2,3.6263
1683,4.5,1.0,"Wings of the Dove, The",Drama|Romance,1997,4.4167,6,3.8447
1893,4.5,1.0,Beyond Silence (Jenseits der Stille),Drama,1996,4.5,1,3.5923
1963,4.5,1.0,Take the Money and Run,Comedy|Crime,1969,3.3636,11,3.4293
2206,4.5,1.0,Suspicion,Film-Noir|Mystery|Thriller,1941,4.0,5,3.6677
2357,4.5,1.0,Central Station (Central do Brasil),Drama,1998,4.4167,6,3.8447
2568,4.5,1.0,"Mod Squad, The",Action|Crime,1999,3.1875,8,3.362
2801,4.5,1.0,Oscar and Lucinda (a.k.a. Oscar & Lucinda),Drama|Romance,1997,4.5,1,3.5923
2971,4.5,1.0,All That Jazz,Drama|Fantasy|Musical,1979,4.0833,6,3.7197
3003,4.5,1.0,Train of Life (Train de vie),Comedy|Drama|Romance|War,1998,4.5,2,3.668
3306,4.5,1.0,"Circus, The",Comedy,1928,4.125,4,3.6797
3307,4.5,1.0,City Lights,Comedy|Drama|Romance,1931,3.8462,13,3.6963
3379,4.5,1.0,On the Beach,Drama,1959,4.5,1,3.5923
3548,4.5,1.0,Auntie Mame,Comedy|Drama,1958,3.7,5,3.5677
3741,4.5,1.0,Badlands,Crime|Drama|Thriller,1973,4.0909,11,3.8103
4157,4.5,1.0,"Price of Milk, The",Comedy|Drama|Fantasy|Romance,2000,4.5,1,3.5923
4307,4.5,1.0,"Fast Food, Fast Women",Comedy|Romance,2000,4.5,1,3.5923
4406,4.5,1.0,"Man Who Shot Liberty Valance, The",Crime|Drama|Western,1962,4.4,5,3.801
4407,4.5,1.0,Salvador,Drama|Thriller|War,1986,4.5,1,3.5923
4537,4.5,1.0,Running on Empty,Drama,1988,4.3333,3,3.6935
4628,4.5,1.0,New York Stories,Comedy|Drama,1989,3.125,4,3.394
4826,4.5,1.0,"Big Red One, The",Action|Adventure|Drama|War,1980,4.25,2,3.6263
5095,4.5,1.0,"Scotland, Pa.",Comedy|Crime,2001,4.5,1,3.5923
5155,4.5,1.0,"Big Bird Cage, The",Action,1972,4.5,1,3.5923
5470,4.5,1.0,The Importance of Being Earnest,Comedy|Romance,1952,4.3333,3,3.6935
5498,4.5,1.0,Red Beard (Akahige),Drama,1965,4.5,1,3.5923
5747,4.5,1.0,Gallipoli,Drama|War,1981,4.2857,7,3.8245
5772,4.5,1.0,My Dinner with André,Drama,1981,4.75,2,3.7096
5818,4.5,1.0,"Crime of Father Amaro, The (Crimen del padre Amaro, El)",Drama|Romance,2002,4.5,1,3.5923
5901,4.5,1.0,Empire,Crime|Drama,2002,4.5,1,3.5923
6163,4.5,1.0,He Loves Me... He Loves Me Not (À la folie... pas du tout),Romance|Thriller,2002,4.5,1,3.5923
6254,4.5,1.0,"Awful Truth, The",Comedy|Romance,1937,4.75,2,3.7096
6466,4.5,1.0,Mississippi Masala,Drama|Romance,1991,3.5,3,3.5012
6515,4.5,1.0,You Only Live Once,Crime|Film-Noir,1937,4.5,1,3.5923
6545,4.5,1.0,I Capture the Castle,Drama|Romance,2003,4.5,1,3.5923
6776,4.5,1.0,Lagaan: Once Upon a Time in India,Comedy|Drama|Musical|Romance,2001,4.1667,3,3.6551
6963,4.5,1.0,Devil's Playground,Documentary,2002,4.25,2,3.6263
6969,4.5,1.0,"Dernier Combat, Le (Last Battle, The)",Drama|Sci-Fi,1983,4.5,1,3.5923
6985,4.5,1.0,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La)",Drama,1928,3.9,5,3.6344
7091,4.5,1.0,Horse Feathers,Comedy,1932,4.0,2,3.5846
7123,4.5,1.0,Naked Lunch,Drama|Fantasy|Mystery|Sci-Fi,1991,3.4444,9,3.4745
7234,4.5,1.0,"Strada, La",Drama,1954,4.25,6,3.7822
7572,4.5,1.0,Wit,Drama,2001,4.5,1,3.5923
7706,4.5,1.0,Animal Crackers,Comedy|Musical,1930,4.125,4,3.6797
7748,4.5,1.0,Pierrot le fou,Crime|Drama,1965,3.875,4,3.6083
8581,4.5,1.0,Pirates of Silicon Valley,Documentary|Drama,1999,4.0,4,3.644
8939,4.5,1.0,"Final Cut, The",Sci-Fi|Thriller,2004,3.6667,3,3.5397
8973,4.5,1.0,Bad Education (La mala educación),Drama|Thriller,2004,3.75,8,3.612
25769,4.5,1.0,"Steamboat Bill, Jr.",Comedy|Romance,1928,4.5,1,3.5923
25886,4.5,1.0,Random Harvest,Drama|Romance,1942,4.0,2,3.5846
26736,4.5,1.0,Riki-Oh: The Story of Ricky (Lik Wong),Action|Crime|Thriller,1991,4.5,1,3.5923
