movieId,predicted_rating,n_neighbor_votes,title,genres,release_year,mean_rating,rating_count,bayesian_rating
5490,5.0,1.0,The Big Bus,Action|Comedy,1976,5.0,1,3.6378
8235,5.0,1.0,Safety Last!,Action|Comedy|Romance,1923,4.0,2,3.5846
26169,5.0,1.0,Branded to Kill (Koroshi no rakuin),Action|Crime|Drama,1967,5.0,1,3.6378
26401,5.0,1.0,Last Hurrah for Chivalry (Hao xia),Action|Drama,1979,5.0,1,3.6378
26681,5.0,1.0,Bullet in the Head,Action|Drama|War,1990,4.0,2,3.5846
72142,5.0,1.0,Love Exposure (Ai No Mukidashi),Action|Comedy|Drama|Romance,2008,5.0,1,3.6378
82744,5.0,1.0,Faster,Action|Crime|Drama,2010,5.0,1,3.6378
95149,5.0,1.0,Superman/Batman: Public Enemies,Action|Animation|Fantasy,2009,5.0,1,3.6378
100906,5.0,1.0,Maniac Cop 2,Action|Horror|Thriller,1990,5.0,1,3.6378
102084,5.0,1.0,Justice League: Doom,Action|Animation|Fantasy,2012,5.0,1,3.6378
108795,5.0,1.0,Wonder Woman,Action|Adventure|Animation|Fantasy,2009,5.0,1,3.6378
109968,5.0,1.0,Why Don't You Play In Hell? (Jigoku de naze warui),Action|Drama,2013,4.25,2,3.6263
115727,5.0,1.0,Crippled Avengers (Can que) (Return of the 5 Deadly Venoms),Action|Adventure,1981,5.0,1,3.6378
138632,5.0,1.0,Tokyo Tribe,Action|Crime|Drama|Sci-Fi,2014,5.0,1,3.6378
173145,5.0,1.0,War for the Planet of the Apes,Action|Adventure|Drama|Sci-Fi,2017,2.875,4,3.3225
5915,4.784,2.0,Victory (a.k.a. Escape to Victory),Action|Drama|War,1981,4.75,2,3.7096
122912,4.674,3.0,Avengers: Infinity War - Part I,Action|Adventure|Sci-Fi,2018,4.0,13,3.7833
5833,4.639,3.0,Dog Soldiers,Action|Horror,2002,4.6667,3,3.7704
6300,4.513,3.0,Flickering Lights (Blinkende lygter),Action|Comedy|Crime,2000,4.5,3,3.732
167746,4.506,2.0,The Lego Batman Movie,Action|Animation|Comedy,2017,3.7143,7,3.5892
2568,4.5,1.0,"Mod Squad, The",Action|Crime,1999,3.1875,8,3.362
5155,4.5,1.0,"Big Bird Cage, The",Action,1972,4.5,1,3.5923
8795,4.5,1.0,Musa the Warrior (Musa),Action|Adventure|Drama|War,2001,4.5,1,3.5923
26736,4.5,1.0,Riki-Oh: The Story of Ricky (Lik Wong),Action|Crime|Thriller,1991,4.5,1,3.5923
26985,4.5,1.0,Nirvana,Action|Sci-Fi,1997,4.5,1,3.5923
27480,4.5,1.0,Dead or Alive 2: Tôbôsha,Action|Crime|Thriller,2000,4.5,1,3.5923
27869,4.5,1.0,Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo),Action|Drama|War,2004,4.5,1,3.5923
34450,4.5,1.0,Miracles - Mr. Canton and Lady Rose,Action|Comedy|Crime|Drama,1989,4.5,1,3.5923
72308,4.5,1.0,Battlestar Galactica: The Plan,Action|Adventure|Drama|Sci-Fi,2009,4.25,2,3.6263
72554,4.5,1.0,Cell 211 (Celda 211),Action|Drama,2009,4.5,1,3.5923
96004,4.5,1.0,Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu),Action|Adventure|Animation,1993,3.25,2,3.4596
102338,4.5,1.0,Shaolin Temple (Shao Lin si),Action|Adventure|Drama,1976,4.5,1,3.5923
107462,4.5,1.0,Ninja: Shadow of a Tear,Action|Crime|Thriller,2013,4.5,1,3.5923
116668,4.5,1.0,Dead Snow 2: Red vs. Dead,Action|Comedy|Horror,2014,4.0,2,3.5846
160527,4.5,1.0,Sympathy for the Underdog,Action|Crime|Drama,1971,4.5,1,3.5923
160565,4.5,1.0,The Purge: Election Year,Action|Horror|Sci-Fi,2016,2.75,2,3.3763
93838,4.492,5.0,The Raid: Redemption,Action|Crime,2011,4.3333,9,3.8956
7387,4.353,9.0,Dawn of the Dead,Action|Drama|Horror,1978,3.975,20,3.8172
27156,4.345,3.0,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni)",Action|Animation|Drama|Fantasy|Sci-Fi,1997,4.3,5,3.7677
69275,4.31,3.0,Dead Snow (Død snø),Action|Adventure|Comedy|Horror,2009,4.25,4,3.7154
187593,4.305,3.0,Deadpool 2,Action|Comedy|Sci-Fi,2018,3.875,12,3.7053
69524,4.277,2.0,Raiders of the Lost Ark: The Adaptation,Action|Adventure|Thriller,1989,4.3333,3,3.6935
4826,4.27,2.0,"Big Red One, The",Action|Adventure|Drama|War,1980,4.25,2,3.6263
5965,4.266,2.0,"Duellists, The",Action|War,1977,4.1667,3,3.6551
82242,4.251,2.0,Rare Exports: A Christmas Tale (Rare Exports),Action|Comedy,2010,4.25,2,3.6263
3062,4.242,4.0,"Longest Day, The",Action|Drama|War,1962,4.0,11,3.7627
3030,4.236,8.0,Yojimbo,Action|Adventure,1961,4.2308,13,3.9137
73323,4.219,4.0,"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes)",Action|Crime|Mystery,2009,4.2,5,3.7344
74510,4.217,4.0,"Girl Who Played with Fire, The (Flickan som lekte med elden)",Action|Crime|Drama|Mystery|Thriller,2009,4.25,4,3.7154
2288,4.213,16.0,"Thing, The",Action|Horror|Sci-Fi|Thriller,1982,3.9333,45,3.8548
55167,4.206,2.0,Tekkonkinkreet (Tekkon kinkurîto),Action|Adventure|Animation|Crime|Fantasy,2006,4.625,4,3.8225
8132,4.198,5.0,Gladiator,Action|Drama,1992,4.3333,9,3.8956
168248,4.195,3.0,John Wick: Chapter Two,Action|Crime|Thriller,2017,4.1429,7,3.7656
72489,4.193,3.0,Ninja Assassin,Action|Crime|Drama|Thriller,2009,4.1667,3,3.6551
8142,4.189,2.0,Dead or Alive: Hanzaisha,Action|Crime,1999,4.25,2,3.6263
1209,4.164,9.0,Once Upon a Time in the West (C'era una volta il West),Action|Drama|Western,1968,4.3056,18,4.0184
84414,4.153,2.0,All-Star Superman,Action|Adventure|Animation|Sci-Fi,2011,4.25,2,3.6263
2905,4.147,3.0,Sanjuro (Tsubaki Sanjûrô),Action|Adventure|Drama,1962,4.25,4,3.7154
55721,4.14,4.0,Elite Squad (Tropa de Elite),Action|Crime|Drama|Thriller,2007,4.3,10,3.9008
26547,4.124,2.0,Police Story (Ging chaat goo si),Action|Comedy|Crime|Thriller,1985,4.25,2,3.6263
98124,4.112,3.0,"Batman: The Dark Knight Returns, Part 1",Action|Animation|Sci-Fi,2012,3.9286,7,3.6774
112175,4.104,5.0,How to Train Your Dragon 2,Action|Adventure|Animation,2014,3.7667,15,3.6606
1287,4.099,12.0,Ben-Hur,Action|Adventure|Drama,1959,3.9412,34,3.8413
38095,4.09,3.0,"Bittersweet Life, A (Dalkomhan insaeng)",Action|Crime|Drama,2005,4.1667,3,3.6551
68945,4.087,2.0,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei),Action|Animation|Mystery|Sci-Fi,1997,4.0,2,3.5846
104913,4.023,4.0,Rush,Action|Drama,2013,3.8182,11,3.6674
7022,4.012,16.0,Battle Royale (Batoru rowaiaru),Action|Drama|Horror|Thriller,2000,3.9333,30,3.8254
8253,4.009,3.0,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro),Action|Adventure|Animation|Comedy|Crime|Mystery,1979,3.4,5,3.4677
8016,4.006,2.0,"Getaway, The",Action|Crime|Drama|Thriller,1972,4.0,2,3.5846
2041,4.0,2.0,Condorman,Action|Adventure|Children|Comedy,1981,3.3333,3,3.4627
3384,4.0,2.0,"Taking of Pelham One Two Three, The",Action|Crime,1974,4.5,4,3.7868
6448,4.0,2.0,"Flight of the Phoenix, The",Action|Adventure|Drama,1965,4.0,2,3.5846
7766,4.0,2.0,Throne of Blood (Kumonosu jô),Action|Drama|Thriller|War,1957,4.0,4,3.644
8167,4.0,2.0,Captain Blood,Action|Adventure|Romance,1935,4.0,2,3.5846
31923,4.0,2.0,"Three Musketeers, The",Action|Adventure|Comedy,1973,4.0,3,3.6166
95475,4.0,2.0,Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô),Action|Adventure|Animation,1991,4.0,2,3.5846
105653,4.0,2.0,Escape Plan,Action|Mystery|Thriller,2013,4.0,4,3.644
107953,4.0,2.0,Dragon Ball Z: Battle of Gods,Action|Animation|Fantasy|IMAX,2013,4.0,2,3.5846
168254,4.0,2.0,Kong: Skull Island,Action|Adventure|Fantasy,2017,3.125,4,3.394
600,4.0,1.0,Love and a .45,Action|Comedy|Crime,1994,4.0,1,3.5469
1112,4.0,1.0,Palookaville,Action|Comedy|Drama,1996,4.5,2,3.668
2475,4.0,1.0,52 Pick-Up,Action|Mystery|Thriller,1986,3.6667,3,3.5397
3029,4.0,1.0,Nighthawks,Action|Drama,1981,3.25,6,3.4072
3372,4.0,1.0,"Bridge at Remagen, The",Action|War,1969,4.0,2,3.5846
3628,4.0,1.0,Flying Tigers,Action|Drama|Romance|War,1942,3.0,2,3.418
3643,4.0,1.0,"Fighting Seabees, The",Action|Drama|War,1944,3.5,2,3.5013
3761,4.0,1.0,"Blood In, Blood Out",Action|Crime|Drama|Thriller,1993,4.0,1,3.5469
4444,4.0,1.0,"Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang)",Action|Crime,1972,4.1667,3,3.6551
6583,4.0,1.0,"Blood of Heroes, The (Salute of the Jugger, The)",Action|Sci-Fi,1989,4.0,1,3.5469
6946,4.0,1.0,Looney Tunes: Back in Action,Action|Animation|Children|Fantasy,2003,2.75,2,3.3763
7056,4.0,1.0,"Public Enemy, The",Action|Crime|Drama,1931,4.25,2,3.6263
7070,4.0,1.0,Red River,Action|Adventure|Western,1948,4.0,1,3.5469
7925,4.0,1.0,"Hidden Fortress, The (Kakushi-toride no san-akunin)",Action|Adventure,1958,4.25,2,3.6263
8117,4.0,1.0,In China They Eat Dogs (I Kina spiser de hunde),Action|Comedy,1999,4.0,1,3.5469
8241,4.0,1.0,Masterminds,Action|Comedy|Thriller,1997,4.0,1,3.5469
26606,4.0,1.0,"Chinese Ghost Story, A (Sinnui yauwan)",Action|Fantasy|Horror|Romance,1987,4.25,2,3.6263
44597,4.0,1.0,Youth of the Beast (Yaju no seishun),Action|Crime|Mystery,1963,4.0,1,3.5469
49688,4.0,1.0,"Dam Busters, The",Action|Drama|War,1955,4.0,1,3.5469
63826,4.0,1.0,Splinter,Action|Horror|Thriller,2008,4.0,1,3.5469
65596,4.0,1.0,Mesrine: Killer Instinct (L'instinct de mort),Action|Crime|Drama|Thriller,2008,4.0,1,3.5469
70533,4.0,1.0,Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo),Action|Animation|Sci-Fi,2007,3.8333,3,3.5781
73876,4.0,1.0,Undisputed II: Last Man Standing,Action|Crime|Drama,2006,4.0,1,3.5469
77893,4.0,1.0,Merantau,Action|Drama,2009,4.0,1,3.5469
80083,4.0,1.0,Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese),Action|Adventure|Animation|Fantasy|Sci-Fi,1989,4.0,1,3.5469
